X;Y;osm_id;name;operator;accepts_bottle;indoor;offers_cold_water;offers_warm_water;offers_hot_water;fee;description;com_insee;com_nom
2.3589478;48.8536344997286;node/7251079310;;;;;;;;no;;75056;Paris
2.4073971;48.8911843997193;node/7259284393;;;yes;;;;;no;;93055;Pantin
2.3894487;48.7075685997648;node/7281910658;;;;;;;;;;91027;Athis-Mons
2.3856187;48.7030879997659;node/7285259213;;;;;;;;;;91027;Athis-Mons
2.3851121;48.8706032997244;node/7295054483;;;;;;;;;;75056;Paris
2.3966029;48.7099592997642;node/7295605337;;;;;;;;;;91027;Athis-Mons
2.389812;48.707010299765;node/7353932711;;;;;;;;;;91027;Athis-Mons
2.3662705;48.6942144997682;node/7367629001;;;;;;;;;;91326;Juvisy-sur-Orge
2.3431581;48.9370936997079;node/7450863759;Robinet d'eau potable;;;;;;;;;93066;Saint-Denis
2.345395;48.9389705997074;node/7455584076;Robinet;;;;;;;;;93066;Saint-Denis
2.4725671;48.7927236997437;node/7487041064;;;yes;;;;;no;;94068;Saint-Maur-des-Fossés
2.3944509;48.8649414997258;node/7512348224;;;;;;;;;;75056;Paris
2.3727172;48.6992689997669;node/7522714593;;Mairie d'Athis-Mons;;;;;;;;91027;Athis-Mons
2.3566703;48.8492706997297;node/7552099673;;;;;;;;;;75056;Paris
2.3867483;48.8714496997242;node/7557458836;;;;;;;;;;75056;Paris
2.3043859;48.8249970997357;node/7559553065;;;yes;;;;;no;;75056;Paris
2.3750581;48.8583418997275;node/7577149231;;;;;;;;;;75056;Paris
2.3750954;48.8312979997341;node/7577149234;;;;;;;;;;75056;Paris
2.4686408;48.8056146997405;node/7581109078;;;;;;;;;;94068;Saint-Maur-des-Fossés
2.4994969;48.7850367997456;node/7581129135;;;;;;;;;;94068;Saint-Maur-des-Fossés
2.5180578;48.787579499745;node/7581133390;;;;;;;;;;94068;Saint-Maur-des-Fossés
2.2174186;48.8917407997192;node/7589529089;;;;;;;;;;92050;Nanterre
2.3855012;48.8711174997243;node/7590356779;;;;;;;;;;75056;Paris
2.3921261;48.8668547997253;node/7603769142;;;;;;;;;;75056;Paris
2.3608718;48.876257799723;node/7626557041;;;;;;;;;;75056;Paris
2.3862516;48.710834799764;node/7642520955;;Mairie d'Ahtis-Mons;;;;;;;;91027;Athis-Mons
2.3867276;48.7111767997639;node/7642520956;;Mairie d'Ahtis-Mons;;;;;;;;91027;Athis-Mons
2.3873422;48.7115836997638;node/7642520957;;Mairie d'Ahtis-Mons;;;;;;;;91027;Athis-Mons
2.3877529;48.7118849997638;node/7642520958;;Mairie d'Ahtis-Mons;;;;;;;;91027;Athis-Mons
2.3881719;48.7121831997637;node/7642520959;;Mairie d'Ahtis-Mons;;;;;;;;91027;Athis-Mons
2.389178;48.7115783997638;node/7642520960;;Mairie d'Ahtis-Mons;;;;;;;;91027;Athis-Mons
2.3884794;48.7112084997639;node/7642520961;;Mairie d'Ahtis-Mons;;;;;;;;91027;Athis-Mons
2.3881854;48.710866399764;node/7642520962;;Mairie d'Ahtis-Mons;;;;;;;;91027;Athis-Mons
2.3334838;48.84808459973;node/764536525;;;;;;;;;;75056;Paris
2.4110135;48.8376418997326;node/7647521693;;;;;;;;;;75056;Paris
2.3325456;48.8451542997307;node/765666859;;;;;;;;;;75056;Paris
2.3363959;48.8474378997302;node/765709631;;;;;;;;;;75056;Paris
2.299908;48.8324071997339;node/7658826435;;;;;;;;;Point d'eau dépendant de l'ouverture du park;75056;Paris
2.3830547;48.8708957997243;node/7673991189;;;;;;;;;;75056;Paris
2.3628856;48.8673113997252;node/7683284810;;;;;;;;;;75056;Paris
2.4141416;48.7219462997613;node/7705771585;Fontaine à eau;;;;;;;;;94001;Ablon-sur-Seine
2.2610325;48.8673676997252;node/7707855432;;;;;;;;;;75056;Paris
2.2561394;48.8982105997176;node/7711494917;;;;;;;;;;92026;Courbevoie
2.2951253;48.8510457997293;node/771835401;;JCDecaux;;;;;;no;;75056;Paris
2.3304118;48.8027438997412;node/771942085;;;;;;;;;;94003;Arcueil
2.4360679;48.8394524997321;node/7726354218;;;;;;;;;;75056;Paris
2.3754294;48.8354778997331;node/7726941000;;;;;;;;;;75056;Paris
2.3355653;48.8192443997372;node/7732327422;;;;;;;;;;75056;Paris
2.4520572;48.9020553997166;node/773723311;;;;;;;;;;93008;Bobigny
2.379929;48.8979615997176;node/7741394285;;;;;;;;;;75056;Paris
2.3248815;48.8699026997246;node/7746637712;;;;;;;;;;75056;Paris
2.3578071;48.8535071997286;node/7767871985;eau de Paris;;;;;;;no;;75056;Paris
2.3670296;48.8535670997286;node/7778255890;;;;;;;;;;75056;Paris
2.3395035;48.8039069997409;node/7778466778;;;;;;;;;;94003;Arcueil
2.3403664;48.803496299741;node/7778766187;;;;;;;;;;94003;Arcueil
2.3392393;48.8048423997407;node/7778766191;;;;;;;;;;94003;Arcueil
2.3396277;48.8044494997408;node/7778766194;;;;;;;;;;94003;Arcueil
2.3401936;48.8041596997409;node/7778766197;;;;;;;;;;94003;Arcueil
2.3321918;48.7763624997478;node/778959900;;;;;;;;;;94038;L'Haÿ-les-Roses
2.394592;48.8823158997215;node/7791789609;;Eau de Paris;;;;;;;;75056;Paris
2.3675526;48.916640999713;node/7798293475;;public;;;;;;no;;93001;Aubervilliers
2.3679416;48.9168932997129;node/7798293476;;public;yes;;;;;no;;93001;Aubervilliers
2.3793957;48.9021337997166;node/7799345960;;;;;;;;no;;93001;Aubervilliers
2.3790845;48.9025833997165;node/7799381610;;;;;;;;no;;93001;Aubervilliers
2.3692116;48.908612199715;node/7814924892;;;yes;;;;;no;;93001;Aubervilliers
2.3658284;48.9068126997154;node/7819815572;;;yes;;;;;no;;93066;Saint-Denis
2.3765314;48.9090094997149;node/7841263467;;;;;;;;;;93001;Aubervilliers
2.3652839;48.896322599718;node/7869678169;;;;;;;;;;75056;Paris
2.3638831;48.8967973997179;node/7869710399;;;;;;;;;;75056;Paris
2.3625775;48.8968804997179;node/7869710418;;;;;;;;;;75056;Paris
2.3831342;48.8503579997294;node/787356934;;;;;;;;;;75056;Paris
2.3817976;48.868407299725;node/7876116885;;;;;;;;;;75056;Paris
2.3809077;48.9114742997143;node/7881238601;;;;;;;;;;93001;Aubervilliers
2.3356666;48.7075112997648;node/7881464036;;;;wall;;;;;;91432;Morangis
2.3356073;48.7074279997649;node/7881464038;;;;;;;;;;91432;Morangis
2.3499165;48.8699279997246;node/790518071;;;;;;;;;;75056;Paris
2.3021027;48.9240602997111;node/7925849020;;;;;;;;;;92036;Gennevilliers
2.1679417;48.8930514997188;node/7930787240;;;;;;;;;;92063;Rueil-Malmaison
2.2771133;48.8968635997179;node/7942644729;;;;;;;;;;92044;Levallois-Perret
2.3204791;48.8570289997278;node/797012546;fontaine d'eau rafraîchie;;;;;;;;"porte D, rez-de-chaussee, pres de l'escalier";75056;Paris
2.3070955;48.8784041997225;node/7973089934;;;;;;;;;;75056;Paris
2.3088117;48.8785152997224;node/7973096823;;;;;;;;;;75056;Paris
2.3478093;48.8730427997238;node/7980888048;;;;;;;;;;75056;Paris
2.3116492;48.8586516997274;node/7985363134;;;yes;;;;;no;;75056;Paris
2.3447207;48.8666496997254;node/7985426522;;;;;;;;;;75056;Paris
2.3369296;48.8785682997224;node/8005902908;;;;;;;;;;75056;Paris
2.3486444;48.8321350997339;node/803165419;;;;;;;;;;75056;Paris
2.3503301;48.8326828997338;node/803165424;;;;;;;;;;75056;Paris
2.3489503;48.831946399734;node/803165426;;;;;;;;;;75056;Paris
2.3497359;48.8330905997337;node/803165429;;;;;;;;;;75056;Paris
2.349985;48.8343843997334;node/803165433;;;;;;;;;;75056;Paris
2.3032469;48.8537025997286;node/8042367830;;;;;;;;;;75056;Paris
2.3017432;48.8549679997283;node/8042367831;;;;;;;;;;75056;Paris
2.3000715;48.8540346997285;node/8042367832;;;;;;;;;;75056;Paris
2.2989134;48.8549057997283;node/8042367834;;;;;;;;;;75056;Paris
2.299722;48.8554530997282;node/8042367835;;;;;;;;;;75056;Paris
2.2976979;48.8551375997282;node/8042367837;;;;;;;;;;75056;Paris
2.299328;48.856244099728;node/8042367838;;;;;;;;;;75056;Paris
2.3017629;48.8484496997299;node/8042367839;;;;;;;;;;75056;Paris
2.5318402;48.9374205997078;node/804410432;;;;;;;;;;93071;Sevran
2.2852654;48.8209863997367;node/8077664454;;;;;;;;;;92075;Vanves
2.3590524;48.8791701997223;node/8088914995;;;;no;;;;;;75056;Paris
2.3333844;48.8543969997284;node/8101010736;;;yes;;;;;no;Fontaine Wallace;75056;Paris
2.3343377;48.8537089997286;node/8101010737;;;;;;;;;;75056;Paris
2.3370144;48.844077899731;node/8101010738;;;;;;;;;;75056;Paris
2.3453554;48.8470242997303;node/8101010739;;;;;;;;;;75056;Paris
2.3504983;48.8477718997301;node/8101010740;;;;;;;;;;75056;Paris
2.3535899;48.8452598997307;node/8101010741;;;;;;;;;;75056;Paris
2.3802852;48.8293527997346;node/810140293;;;;no;;;;;;75056;Paris
2.3795828;48.8299731997345;node/810140297;;;;;;;;;;75056;Paris
2.2308117;48.8502184997295;node/8104304279;;;;;;;;;;92012;Boulogne-Billancourt
2.3586515;48.843858499731;node/8116983758;;;;;;;;;;75056;Paris
2.3588238;48.8427914997313;node/8116983761;;;;;;;;;;75056;Paris
2.3504029;48.8396162997321;node/8116983787;;;;;;;;;;75056;Paris
2.398222;48.8452613997307;node/8121629275;;;;;;;;;;75056;Paris
2.2889785;48.8592800997272;node/8124874773;;;;;;;;;;75056;Paris
2.2895519;48.8627769997263;node/8124874774;;;;;;;;;;75056;Paris
2.2863735;48.8622394997265;node/8124874775;;;;;;;;;;75056;Paris
2.2840985;48.8626900997264;node/8124874776;;;;;;;;;;75056;Paris
2.3196245;48.8589105997273;node/8124874777;;;;;;;;;;75056;Paris
2.2957072;48.8469874997302;node/8128414588;;;yes;;;;;no;;75056;Paris
2.2852288;48.8377772997326;node/8128414589;;;;;;;;;;75056;Paris
2.2843227;48.8386484997323;node/8128414590;;;;;;;;;;75056;Paris
2.2902249;48.8367964997328;node/8128414591;;;no;;;;;no;;75056;Paris
2.2790568;48.8415937997316;node/8128414592;;;;;;;;;;75056;Paris
2.2789107;48.8410526997317;node/8128414593;;;yes;;;;;yes;;75056;Paris
2.2758507;48.8402484997319;node/8128414594;;;yes;;;;;no;;75056;Paris
2.2748116;48.839865499732;node/8128414595;;;yes;;;;;no;;75056;Paris
2.2730449;48.8413569997317;node/8128414596;;;yes;;;;;no;;75056;Paris
2.3876282;48.8806862997219;node/814011914;;;;;;;;;;75056;Paris
2.2972104;48.8651752997257;node/8145701596;;;;;;;;;;75056;Paris
2.2946668;48.8678145997251;node/8145701597;;;;;;;;;;75056;Paris
2.2795533;48.8719458997241;node/8145701598;;;yes;;;;;no;;75056;Paris
2.2706052;48.8669864997253;node/8145701599;;;yes;;;;;no;;75056;Paris
2.2577829;48.8625073997264;node/8145701600;;;;;;;;;;75056;Paris
2.253952;48.8663687997255;node/8145701601;;;;;;;;;;75056;Paris
2.2589761;48.8707010997244;node/8145701603;;;;;;;;;;75056;Paris
2.2512;48.8735241997237;node/8145701604;;;;;;;;;;75056;Paris
2.2478;48.8736927997236;node/8145701605;;;yes;;;;;no;;75056;Paris
2.2379291;48.852186799729;node/8145701606;;;;;;;;;;75056;Paris
2.3151174;48.8754132997232;node/825260566;;JCDecaux;;;;;;no;;75056;Paris
2.337141;48.8188017997372;node/826787763;;;;;;;;;;75056;Paris
2.3384124;48.8185382997373;node/827740397;;;;;;;;;;75056;Paris
2.3401279;48.8181577997374;node/827740404;;;;;;;;;;75056;Paris
2.3023714;48.8746218997234;node/838049883;;JCDecaux;;;;;;no;;75056;Paris
2.3812275;48.8370006997327;node/839055412;;;;;;;;;;75056;Paris
2.3513523;48.8379456997325;node/847219265;;JCDecaux;;;;;;no;;75056;Paris
2.3602086;48.8204881997369;node/847714172;;;;;;;;;;75056;Paris
2.3628121;48.8203446997369;node/847714199;;;;;;;;;;75056;Paris
2.3627088;48.8199856997369;node/847714216;;;;;;;;;;75056;Paris
2.3847461;48.8339809997335;node/849028979;;;;;;;;;;75056;Paris
2.3838347;48.8353140997331;node/849028982;;;;;;;;;;75056;Paris
2.3814978;48.8352989997331;node/849028998;;;;;;;;;;75056;Paris
2.4087695;48.8787742997224;node/874389088;;;;;;;;;;75056;Paris
2.4084495;48.8790382997223;node/874389101;;;;;;;;;;75056;Paris
2.4088226;48.8782045997225;node/874389108;;;;;;;;;;75056;Paris
2.4082362;48.8794020997222;node/874389119;;;;;;;;;;75056;Paris
2.4080833;48.8785853997224;node/874389278;;;;;;;;;;75056;Paris
2.3385565;48.8244368997359;node/875284941;;JCDecaux;;;;;;no;;75056;Paris
2.2735712;48.8418884997315;node/886248632;;;;;;;;;;75056;Paris
2.3240656;48.863955499726;node/897993143;;;;;;;;;;75056;Paris
2.2978053;48.8428599997313;node/913173016;;;;;;;;;;75056;Paris
